id_cliente,nombre,correo,telefono
74,Stephen Andersen,jeffreyweiss@moore.com,285.033.8556x340
75,Kenneth Hayes,tina16@hotmail.com,001-953-379-4991x0749
76,Richard Elliott,grice@flowers.com,872-318-9228x741
77,Michael Aguilar,itran@hotmail.com,001-845-251-0224x858
78,Hannah Greene,pettyashley@gmail.com,+1-788-598-1097x2834
79,Tiffany Turner,mhunter@garza-macias.org,(081)712-0366x36689
80,Preston Moyer,rstone@hotmail.com,292-453-6833x712
81,James Campos,tjohnson@hotmail.com,3163575268
82,Lisa Brady,umclean@yahoo.com,367.166.1193
83,Jeffrey Diaz,kcook@hotmail.com,+1-852-155-2184x2303
84,Paul Jones,rachel65@wang.biz,678-239-8962
85,Robert Barry,brettgordon@peters.com,+1-236-937-9796x38963
86,Michelle Smith,rossaaron@hotmail.com,+1-470-423-9801x0841
87,Jessica Smith,dylanvasquez@yahoo.com,+1-201-825-4789
88,Daniel Trujillo,alexanderthompson@stevens-melton.com,(657)723-3820
89,Michael Perez,lerobert@harvey.com,422.039.0636x3660
90,Linda Rice,patrickperry@hotmail.com,(612)053-6032x1589
91,Brenda Wilson,elizabethpage@yahoo.com,(486)624-0440x945
92,David Sims,robertsjacob@vazquez.com,+1-314-186-1703
93,Catherine Martinez,amy29@conway-murphy.info,001-065-579-8741x6475
94,Robert Stephens,hubbardsarah@rush.com,9056236746
95,Melissa Trevino,wrightmichael@hotmail.com,011.519.3918
96,Brian Thomas,william61@turner-frank.com,202.305.6582x183
97,Andrew Smith,uwhite@yahoo.com,001-213-614-7868x12847
98,Daniel Hughes,corteztonya@hotmail.com,090-887-0881x0351
99,Christopher Young,yporter@roberts.org,+1-795-615-1237x018
100,Aaron Perry,swarren@spence.com,+1-526-723-5618x77224
